1,8006
2,26
3,186
4,1832
5,8144
6,7997
7,660
8,4874
9,5112
10,4654
11,6881
12,8192
13,1283
14,2328
15,5796
16,7125
17,3899
18,2460
19,6606
20,8919
21,638
22,4365
23,5120
24,201
25,7713
26,9835
27,6989
28,920
29,8308
30,9552
31,3478
32,3806
33,3603
34,1523
35,9250
36,963
37,1594
38,601
39,5814
40,9344
41,849
42,1047
43,2368
44,1735
45,172
46,9199
47,1949
48,1365
49,2059
50,3365
51,7649
52,7964
53,3098
54,7341
55,8920
56,4788
57,5345
58,4296
59,4952
60,7878
61,196
62,2816
63,5293
64,78
65,9338
66,1293
67,4943
68,4080
69,8975
70,1221
71,7217
72,3549
73,499
74,8260
75,4077
76,5519
77,6707
78,9389
79,6009
80,2095
81,1547
82,5386
83,2053
84,9415
85,4051
86,8740
87,4421
88,1679
89,7713
90,4015
91,4080
92,3865
93,7799
94,5622
95,3830
96,6642
97,5937
98,1609
99,4134
100,9445
101,7088
102,2143
103,5487
104,4415
105,2063
106,9311
107,8286
108,2098
109,3553
110,3404
111,4869
112,2190
113,9812
114,5384
115,3447
116,1953
117,9038
118,6106
119,8956
120,5367
121,8539
122,2113
123,8140
124,4740
125,880
126,1580
127,5382
128,6110
129,3662
130,8797
131,7705
132,8966
133,4991
134,5806
135,2663
136,5762
137,8339
138,6452
139,4846
140,8697
141,2203
142,8316
143,8730
144,9091
145,7571
146,6427
147,545
148,9110
149,8932
150,2035
151,151
152,7684
153,5051
154,5883
155,635
156,3354
157,7794
158,6057
159,1490
160,7025
161,8537
162,2102
163,1404
164,4050
165,78
166,1501
167,2518
168,8242
169,6575
170,1553
171,1483
172,9529
173,3035
174,7810
175,8114
176,8988
177,5363
178,1445
179,133
180,7437
181,6330
182,4502
183,6457
184,1303
185,2555
186,4425
187,1867
188,3202
189,3135
190,2412
191,7578
192,4293
193,2943
194,6771
195,5118
196,5087
197,5762
198,6676
199,1148
200,3397
201,5326
202,5212
203,4069
204,6123
205,7030
206,9779
207,5386
208,8598
209,8085
210,2226
211,5761
212,4964
213,2537
214,1422
215,7677
216,7760
217,1086
218,2616
219,3419
220,8319
221,1576
222,2398
223,9956
224,2216
225,6657
226,8238
227,1231
228,79
229,3896
230,1701
231,9026
232,5392
233,7117
234,6058
235,4914
236,2690
237,2616
238,9164
239,8399
240,2415
241,294
242,5562
243,4782
244,3311
245,6846
246,5563
247,5184
248,6150
249,7489
250,8843
251,6565
252,3575
253,8240
254,385
255,4939
256,6342
257,7581
258,6722
259,1672
260,5237
261,3869
262,3981
263,3727
264,9538
265,5168
266,1
267,9726
268,819
269,9293
270,7060
271,7493
272,4565
273,5279
274,5498
275,2942
276,943
277,9823
278,546
279,4119
280,1887
281,9225
282,3377
283,7623
284,1337
285,1403
286,8708
287,1869
288,4492
289,5302
290,2464
291,2397
292,9232
293,7375
294,1666
295,9259
296,8722
297,4721
298,9476
299,4587
300,5968
301,2050
302,9526
303,434
304,2297
305,4738
306,9285
307,8978
308,7033
309,5900
310,1480
311,7774
312,1708
313,6006
314,4889
315,9239
316,5646
317,1751
318,7462
319,3337
320,512
321,4756
322,4531
323,6571
324,5149
325,9714
326,8196
327,4477
328,5269
329,6639
330,6716
331,3415
332,4660
333,5582
334,5917
335,735
336,6275
337,7387
338,6795
339,7298
340,6169
341,6285
342,4964
343,8594
344,7200
345,1210
346,8696
347,1501
348,9713
349,7223
350,227
351,6210
352,9107
353,9224
354,5805
355,7186
356,6807
357,3947
358,947
359,4106
360,4258
361,9086
362,9320
363,3808
364,4764
365,1722
366,4127
367,6928
368,7686
369,400
370,7210
371,7693
372,1888
373,5473
374,1403
375,8889
376,1234
377,3291
378,150
379,7147
380,7068
381,8415
382,3769
383,2110
384,2988
385,4677
386,8531
387,2723
388,4494
389,8779
390,1890
391,298
392,6446
393,6472
394,3256
395,7448
396,5206
397,8820
398,5687
399,7622
400,8283
401,6950
402,796
403,4525
404,2083
405,4163
406,1132
407,120
408,8605
409,5613
410,7384
411,3439
412,8309
413,6424
414,6810
415,5958
416,937
417,2566
418,4713
419,9528
420,3763
421,2310
422,2006
423,2860
424,8661
425,2887
426,6521
427,1129
428,5870
429,4502
430,8087
431,94
432,5448
433,5734
434,7157
435,1701
436,8838
437,8894
438,9713
439,195
440,6808
441,5407
442,8458
443,3253
444,4096
445,76
446,8143
447,585
448,1367
449,1092
450,3351
451,617
452,3268
453,1621
454,1619
455,3725
456,1818
457,4389
458,1863
459,1709
460,2544
461,9015
462,427
463,186
464,4350
465,9358
466,3438
467,7518
468,9840
469,9448
470,2075
471,7038
472,2122
473,7529
474,3585
475,8839
476,8516
477,8476
478,9782
479,9202
480,3482
481,1716
482,8858
483,1549
484,4348
485,2491
486,3435
487,3764
488,8357
489,7751
490,9131
491,3284
492,5092
493,9203
494,2162
495,7313
496,4962
497,9645
498,8247
499,1857
500,1009
501,8036
502,3063
503,9179
504,7650
505,1751
506,4750
507,3027
508,0
509,6775
510,3062
511,5047
512,9711
513,1338
514,6262
515,2698
516,3480
517,7767
518,7124
