1,4854,469,3849,6478,297,3575,2715,3221,8856,5810
2,8658,6947,5824,8685,8043,5997,3954,3470,1850,9608
3,8193,8738,4877,4583,1854,4117,1896,5875,9971,8503
4,2653,950,4605,4591,5199,4684,4915,8877,7706,1673
5,317,3109,8069,8773,781,7559,6339,6876,2919,3954
6,1450,84,2026,1994,1171,5804,7930,8189,1577,1676
7,971,5921,7570,6499,1274,2252,5174,4484,9559,7197
8,5071,7727,4429,5645,2324,9841,9357,2627,1253,133
9,2441,7337,5900,2540,7864,500,4607,1497,5992,1211
10,5297,338,985,9397,6510,2431,1347,2583,6141,5236
11,85,7671,4952,9732,5844,7824,4383,1983,9950,8604
12,8415,7613,5478,4053,3109,9355,2621,9380,139,4419
13,1738,9748,9735,2866,8248,8209,3575,7597,9211,4275
14,3964,1867,6257,825,7271,727,3518,5205,9702,1414
15,3020,5029,9863,399,7901,5520,5204,8166,3162,2918
16,4385,7127,2229,8805,5942,3827,4333,6210,4612,5920
17,1700,9599,8275,7106,1828,2122,3806,1202,2137,4027
18,4731,7210,7032,9216,5716,8040,1757,1145,9965,6367
19,1802,3159,1364,1172,6356,5955,1531,5522,3041,8455
20,7686,2214,9611,7716,7253,1586,1557,6151,4524,6688
21,1099,6958,484,8566,6692,9809,8473,6725,1161,6182
22,4540,1885,7327,1936,2857,4328,3074,966,7577,5096
23,9238,7815,6889,7904,8217,3349,2505,103,2760,3597
24,2045,615,536,5934,3911,2850,7435,6460,3823,6727
25,3551,6596,2768,4078,4622,1268,8916,4139,9092,6535
26,9445,1655,8781,641,2131,1559,5529,3671,2204,3009
27,7152,5341,7157,9975,7355,8155,4413,3401,8664,2219
28,759,1919,3121,4032,6899,5626,5394,3063,6939,6171
29,9845,14,5816,6830,3154,6087,987,3823,1615,9209
30,6452,1260,136,6479,8048,3097,7464,7112,2216,5389
31,8501,4124,4898,9013,1400,7918,2468,7575,6751,4263
32,4136,9784,2354,2085,146,1491,256,616,6444,990
33,2836,9276,6050,1959,2101,7413,5209,181,5188,3168
34,4527,3530,60,4107,9958,9342,2092,9147,3567,7071
35,8818,2819,8046,5607,7836,77,9501,5754,667,4343
36,1704,3286,5383,1067,6092,1421,4204,541,4893,4823
37,9914,1782,6424,3174,5899,1112,4298,2984,7254,2498
38,1407,6881,8527,231,7681,2153,9156,1165,9150,3569
39,6686,3297,1372,5199,7938,8910,5431,251,2312,6734
40,2862,236,5376,3920,6730,5659,6815,3696,991,3980
41,2836,3945,7263,5233,9578,6089,282,2078,8809,3600
42,1817,4225,3000,8877,5949,1360,870,3691,1904,1304
43,3937,8400,4719,90,6015,4235,1671,6343,3336,5391
44,7553,1406,6021,4188,2266,3285,9597,3009,9409,3819
45,9210,5427,3895,3437,4205,8517,8590,1164,3269,7537
46,2743,6065,8014,9725,1333,1657,4830,5874,6190,1983
47,2402,3136,7083,305,4063,8950,2650,2958,7681,5399
48,9675,7332,6960,6005,3945,5707,7093,7279,646,1765
49,9545,3714,2463,6659,7747,8808,9213,795,6992,4796
50,442,1376,1063,6868,7554,7373,2468,904,9728,320
51,3825,3037,2475,737,5358,9288,5428,2155,2695,6799
52,1621,3879,2765,8726,2847,8781,1761,1401,5302,6114
53,9942,3818,4966,5593,262,7222,9897,802,2210,3877
54,8095,3106,3857,7056,6702,2840,7202,4284,897,1303
55,298,6657,9799,2699,3954,2815,9180,7479,6013,4597
56,1021,4194,5333,4770,9887,8067,7348,4151,9244,1289
57,7018,750,4102,2696,7295,4276,113,5007,1200,5572
58,1501,5902,9386,7226,4688,6985,6570,1375,4178,3601
59,1483,6637,4035,8437,6116,1987,2016,7186,7957,1767
60,7267,8263,5149,7065,6337,1421,6092,4297,8880,4898
61,4923,3913,5470,1307,3017,5103,4969,1504,1874,978
62,4455,425,1494,7978,3874,9911,4379,5920,2241,8687
63,8109,7098,1626,9513,6451,1691,7525,9227,9814,2231
64,6445,7180,370,3379,7174,2297,4218,8457,9570,4274
65,5090,6872,4618,9878,9852,9526,9017,8821,2083,5517
66,860,3825,917,4029,1334,8441,2975,6968,4078,3632
67,3806,2093,350,9686,6649,3943,265,5197,1026,2914
68,5088,9757,4616,2390,8427,115,9891,8905,9108,2463
69,7881,3079,7381,575,7073,9971,3612,6115,6051,1254
70,442,9022,7675,4009,1268,2245,2801,6138,570,4325
71,8164,9291,6307,5228,2881,1865,1350,206,9808,850
72,5012,116,5671,8992,6865,2099,1265,1813,4178,9319
73,817,6811,7446,3302,8165,9310,8590,6118,5223,2454
74,2757,6021,9122,7834,1430,9225,3688,7636,9375,8971
75,3091,7620,6545,8636,8808,8908,4345,6434,4308,3298
76,937,9372,7724,8086,357,8617,613,9882,3479,5409
77,9157,9152,4347,55,8629,568,7921,1062,309,2754
78,1371,5767,5108,9773,6128,579,4144,3909,729,276
79,3018,1482,8846,5993,7154,2172,2042,1798,4175,2185
80,1128,5707,4464,3540,9974,8578,2736,3375,9035,7693
81,7190,7623,2271,7751,2678,9378,3347,6800,2940,1810
82,9548,3995,2553,7867,9462,849,9406,1919,2379,1791
83,4036,6680,2980,8592,7665,791,4172,4048,695,1706
84,9312,5927,7491,6024,6895,6457,3106,1433,2620,3230
85,2527,333,729,4573,4962,8382,9829,8196,7567,6226
86,773,4471,2852,4698,6687,375,8798,1862,2336,6491
87,1119,8864,834,1073,2030,2528,6661,9132,7518,2149
88,205,7391,8108,7024,1326,4545,8621,6258,4765,585
89,8977,8836,9490,3882,446,8309,4984,5037,2336,6022
90,2279,7942,7014,7116,1290,2515,7305,2964,901,124
91,9368,8973,2592,6120,2200,9685,7317,5444,9944,6222
92,4662,3912,2015,907,3211,2218,9770,8809,3331,7337
93,1218,7608,9049,1917,1217,2661,9821,562,3828,3633
94,5674,9429,8099,2287,9512,1058,550,6873,2760,1640
95,776,9334,2135,2188,1163,9700,5268,1555,610,8502
96,3343,6247,2216,744,9850,5706,386,5817,9993,5193
97,6375,9585,993,6313,8129,7398,4231,8676,171,1078
98,9410,4520,2298,8692,1765,5845,3702,1047,2452,9683
99,4247,1723,4765,7646,6786,1675,1591,409,8982,9810
100,2454,231,5203,905,1980,9284,5658,9757,8849,2496
101,6537,9199,205,2767,3518,5753,1446,4286,7315,9281
102,3157,8432,4633,2304,7155,3537,3340,5075,2352,636
103,4782,6775,788,1785,6290,7008,3078,1822,9311,8856
104,9747,784,814,4673,5343,3841,2993,7934,194,3752
105,2658,8275,462,8666,8106,3413,1393,6715,6257,8985
106,7588,3426,7301,9996,9856,2112,9561,3056,709,3445
107,832,2719,3860,5094,4715,1520,7389,7228,5410,4958
108,3920,6451,3607,5784,6970,4046,7217,1586,468,4504
109,4643,2134,5462,8686,4692,6756,8063,1130,4695,4813
110,455,769,431,7295,5235,119,3749,954,5056,6296
111,4590,6560,7116,2389,5889,2066,8981,4394,8138,973
112,8912,2020,8135,1775,9891,604,7254,5980,7116,7530
113,8241,4167,7619,6651,9940,6522,9231,3099,5416,3993
114,7957,1286,4398,8369,7413,9880,4337,1794,3603,5124
115,6308,3243,7194,3854,2398,2164,3760,3589,5755,4045
116,5324,3132,3362,7410,212,8531,5217,83,1214,6733
117,3997,4538,145,3409,6583,4353,7342,8259,1375,4883
118,899,6827,9664,8293,7084,7039,2662,5252,6524,4811
119,904,3036,7882,8039,4280,3333,5984,417,4661,4657
120,138,8565,4799,1952,4116,5328,2975,7656,1361,8683
121,3557,4844,3784,2549,2077,4318,1144,5557,4580,6745
122,4581,1979,4683,61,8462,512,981,3400,2944,6648
123,2782,7715,2480,4400,9214,1840,138,9228,940,161
124,4354,6315,7949,7897,517,5541,6773,747,2151,1094
125,8762,4562,8743,353,7424,8153,6844,5221,2688,7102
126,1882,8120,2649,5806,1567,9102,585,6700,2519,5860
127,656,4103,3190,8272,2798,993,3029,3929,954,7311
128,8454,6192,966,2935,5024,8946,3181,2809,9494,5505
129,9415,6387,758,82,808,345,3445,3010,9116,7374
130,6761,776,3897,6128,2322,1449,6766,8110,8667,7415
131,2380,9972,5821,8202,9469,8197,2327,9810,4508,5044
